"域名","页面权威度(AS)","外链分类大类","推荐优先级","来源页面标题","来源页面URL","竞品目标URL","锚文本","是否Nofollow","实操抄作业指南"
"tsmcjobs.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - TSMC JOBS","https://tsmcjobs.com/tg-masslinker-software-to-publish-backlinks-6/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"techinforce.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","포켓로그 스타팅 추천 2025 시즌별 효율적인 시작 캐릭터 정리","https://techinforce.com/%ED%8F%AC%EC%BC%93%EB%A1%9C%EA%B7%B8-%EC%8A%A4%ED%83%80%ED%8C%85-%EC%B6%94%EC%B2%9C-2025-%EC%8B%9C%EC%A6%8C%EB%B3%84-%ED%9A%A8%EC%9C%A8%EC%A0%81%EC%9D%B8-%EC%8B%9C%EC%9E%91-%EC%BA%90%EB%A6%AD%ED%84%B0/","https://pokerogue.cc/ko","포켓몬 로그 라이트 게임 바로가기","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.worldmovingbolivia.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – World Moving Bolivia","https://www.worldmovingbolivia.com/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-17/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"testsub.watrbar.io","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","masslinker – WATRBAR","https://testsub.watrbar.io/category/masslinker/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"veljko.code011.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – ОШ ”Вељко Дугошевић”, Београд","http://veljko.code011.com/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"wants.cfd","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","http://wants.cfd/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.idilaguna.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM | INSTITUTO DE DESARROLLO INTEGRAL","http://www.idilaguna.com/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"takes.sbs","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","http://takes.sbs/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"travelgatesl.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Travel Gate","http://travelgatesl.com/?p=63538","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"trendyhealthtimes.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","🏆🏆Boost your Google rankings with Premium PBN & Link Building🏆🏆","http://trendyhealthtimes.com/all/50/23.html","https://pokerogue.cc/","High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service pokerogue.cc Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"8coint.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","High-quality backlink service 2024/05/03/4 | 8coint.com","https://8coint.com/list.php?part=2024%2F05%2F03%2F4","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"aanderud.net","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – Hacked By xploitednoob","https://aanderud.net/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-2/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"ainave.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokeRogue | A Pokémon Rogue-lite game - AINave","https://ainave.com/products/pokerogue-a-pokemon-rogue-lite-game","https://pokerogue.cc/?ref=ainave","Visit Website","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.morikouji.jp","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM | 愛知県あま市議会議員 森こうじ","http://www.morikouji.jp/masslinker/32018.html","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.seol.store","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","http://www.seol.store/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.trantinopneumatici.it","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS - VINCENZO TRANTINO","http://www.trantinopneumatici.it/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-4/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"seodomains.website","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","http://seodomains.website/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"innovativedigisolutions.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","http://innovativedigisolutions.com/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"knows.monster","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","http://knows.monster/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"ladyskfashion.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","http://ladyskfashion.com/asx/telegram-seo-linkk-order-seo-backlinks-homepage-3-17/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"espacomulhermais.com.br","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Espaço Mulher Mais","https://espacomulhermais.com.br/tg-masslinker-software-to-publish-backlinks-6/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"aneuinfo.org","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Aneuinfo - Asociación Nacional de Estudiantes Uasdianos De Informática","http://aneuinfo.org/2026/02/05/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"beautifulfaith.org","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokéRogue: Classic Game Mode Tips and Tricks","http://beautifulfaith.org/pok-rogue-classic-game-mode-tips-and-tricks.html","https://pokerogue.cc/blogs/pokerogue-biomes","blog","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"qwenterprise.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","🏆🏆Boost your Google rankings with Premium PBN & Link Building🏆🏆","http://qwenterprise.com/all/50/23.html","https://pokerogue.cc/","High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service pokerogue.cc Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"rdxextremez.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","🏆🏆Boost your Google rankings with Premium PBN & Link Building🏆🏆","http://rdxextremez.com/all/50/23.html","https://pokerogue.cc/","High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service pokerogue.cc Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"saikohayama.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS | 骨董屋 嫁の裏話","http://saikohayama.com/telegram-seo-linkk-order-seo-backlinks-homepage-3-15/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"lapulguia.mx","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Ivan Valdes | La pulguia | Página 42","http://lapulguia.mx/wp/?author=3&paged=42","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"mytestingbro.triple9express.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – Prince","http://mytestingbro.triple9express.com/index.php/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-18/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"portailorange.net","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","🏆🏆Boost your Google rankings with Premium PBN & Link Building🏆🏆","http://portailorange.net/all/50/23.html","https://pokerogue.cc/","High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service pokerogue.cc Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"digipixel.com.ar","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Digipixel","https://digipixel.com.ar/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"drjack.world","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","👲 Domain Report 👲","https://drjack.world/report/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.xiumeimodels.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – Xiumei model","https://www.xiumeimodels.com/telegram-seo-linkk-order-seo-backlinks-homepage-3/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"condopropertylaunch.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – CondoPropertyLaunch","https://condopropertylaunch.com/telegram-seo-linkk-order-seo-backlinks-homepage-3-3/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"creativeposts.top","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","✅ Website Stats 📊","https://creativeposts.top/stats/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"delisatravels.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS | We make Travel fun","https://delisatravels.com/?p=24587","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"freeketorecipes.paiaxis.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Deliciously Easy Keto Recipes","https://freeketorecipes.paiaxis.com/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"hgtactical.net","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – HG Tactical Firearms Training","https://hgtactical.net/telegram-seo-linkk-order-seo-backlinks-homepage-3-19/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"hilcodc.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS - Hilco D&C - ฮิลโก้ ดีแอนด์ซี","https://hilcodc.com/telegram-seo-linkk-order-seo-backlinks-homepage-3-18/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"express-prod-ccqkuvfrra-nw.a.run.app","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokéRogue: Classic Game Mode Tips and Tricks","https://express-prod-ccqkuvfrra-nw.a.run.app/articles/pok-rogue-classic-game-mode-tips-and-tricks","https://pokerogue.cc/blogs/pokerogue-biomes","blog","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"fiverr-quality-seo-at-affordable-rates.site","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Thanks to Fiverr Backlinks, I Ranked Top 5 for Several Keywords 📊 5-Star","https://fiverr-quality-seo-at-affordable-rates.site/fiverr-backlinks-helped-me-rank-top-5-for-several-keywords/","https://pokerogue.cc/","Fiverr helped my pokerogue.cc achieve a top position #2 for critical search terms 🏆","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"form.bvf.edu.pe","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Pokerogue Forms - Printable","https://form.bvf.edu.pe/en/pokerogue-forms.html","https://pokerogue.cc/blogs/cute_pikachu.png","PokeRogue A Pokémon Roguelite game","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"blinks.monster","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","seo domain research","https://blinks.monster/domain/domain/part/186152","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"blogsphere.top","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","✅ Website Stats 📊","https://blogsphere.top/stats/85918","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"buzzshrink.website","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","❤️ URL Shared ❤️","https://buzzshrink.website/share/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"anchorurl.cloud","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","❤️ URL Shared ❤️","https://anchorurl.cloud/share/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"avnfans.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","AVN FANS – Page 143 – AVNFANS","https://avnfans.com/author/avnfans/page/143/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"backlinks-checker.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","❤️ URL Shared ❤️","https://backlinks-checker.com/share/85918","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"call.theoptimalplumber.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Optimal Plumbing Solutions","https://call.theoptimalplumber.com/2026/02/05/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"carbonchemist.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","xtw183874b04 – Page 1308 – Carbon Chemist","https://carbonchemist.com/author/xtw183874b04/page/1308/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"clichefashion.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - clichefashion","https://clichefashion.com/tg-masslinker-software-to-publish-backlinks-7/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"byteshort.xyz","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","👲 Domain Report 👲","https://byteshort.xyz/report/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"bye.fyi","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","👲 Domain Report 👲","https://bye.fyi/report/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"analyticshaven.top","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","✅ Website Stats 📊","https://analyticshaven.top/stats/85917","https://pokerogue.cc/","pokerogue.cc","true","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"usa8-dev1.alpinelinux.org","11","5. 黑帽/寄生虫泛解析 (高风险)","P3 (避坑)","Pokerogue Calendar - DateZone","https://usa8-dev1.alpinelinux.org/en/pokerogue-calendar.html","https://pokerogue.cc/screenshots/pokedex.png","","false","过期高权重域名被挂载的寄生虫页面。白帽站点千万不要模仿买此类链接，容易遭 Google 算法惩罚。"
"ws2.existentialcomics.com","0","5. 黑帽/寄生虫泛解析 (高风险)","P3 (避坑)","Pokerogue Gacha Calendar - ws2.existentialcomics.com","https://ws2.existentialcomics.com/en/pokerogue-gacha-calendar.html","https://pokerogue.cc/blogs/pokemon_list.png","PokeRogue Un juego de Pokémon Roguelite","false","过期高权重域名被挂载的寄生虫页面。白帽站点千万不要模仿买此类链接，容易遭 Google 算法惩罚。"
"live.eden-court.co.uk","0","5. 黑帽/寄生虫泛解析 (高风险)","P3 (避坑)","Pokerogue Calendar - Calendar Guide","https://live.eden-court.co.uk/calendar/pokerogue-calendar.html","https://pokerogue.cc/blogs/cute_pikachu.png","","false","过期高权重域名被挂载的寄生虫页面。白帽站点千万不要模仿买此类链接，容易遭 Google 算法惩罚。"
"it.search.yahoo.com","24","5. 搜索引擎缓存 (无需跟进)","P3 (忽略)","Slaughterhouse - Risultati di Yahoo Italia Search","https://it.search.yahoo.com/yp/search?age=1m&ei=UTF-8&p=Slaughterhouse","https://pokerogue.cc/es","pokerogue.cc › es PokeRogue | Un juego de Pokémon Rogue-lite","false","搜索引擎 SERP 缓存页面，非真实反链，直接忽略。"
